Subcluster_id,Q-score,No_of_motifs
105,0.48498875404930963,11
161,0.48492009288484794,10
234,0.4842652642691039,11
491,0.4833476111046255,3
180,0.48293077230246906,5
66,0.4818697846945604,4
483,0.4798233565847013,6
261,0.47923126827999296,6
271,0.4776688384674067,7
883,0.476650923087124,3
566,0.4761087203026535,2
69,0.4749764380780323,4
86,0.47419649953022813,5
37,0.469940286585806,4
502,0.46794931561083397,7
284,0.466268881452953,4
567,0.4657140428942045,4
0,0.4614807922227332,6
375,0.4606410529868082,6
382,0.45982346048959377,6
886,0.45502846394193996,3
798,0.45468103697018514,4
70,0.4545804585463486,10
214,0.452992599414654,7
78,0.45188101250583684,8
509,0.4505945651357629,7
869,0.4504351586584928,2
517,0.4502579159235396,3
802,0.4494883877699165,3
318,0.448777720142593,7
208,0.4486070703162476,10
863,0.44854595512177625,4
524,0.448240826993524,5
626,0.44744838346038573,3
282,0.4454462818239191,5
628,0.44530703836135843,5
464,0.4451748138983334,4
547,0.4446569828115262,6
939,0.4432354496383256,7
13,0.439372076051161,7
130,0.4390132083578979,12
607,0.43829278174094743,5
697,0.4358066093280691,3
109,0.43389535397450285,7
690,0.43249828762727854,3
722,0.4317266208824275,7
668,0.4305577300597827,4
908,0.4304920483369563,10
347,0.4302605345834319,3
323,0.42913203694177793,4
74,0.42883029219757196,8
611,0.4277913563969547,3
393,0.42752809949755366,3
559,0.4268455216994492,3
593,0.4238035181727754,2
621,0.4222891299809357,8
794,0.4202361697899179,4
385,0.41953566438130335,6
376,0.4192663029021143,6
240,0.4173201865919945,5
150,0.41651866154438966,11
350,0.4164238818768924,9
441,0.4144696477384472,3
291,0.412408615668001,5
1002,0.4122108479781309,4
494,0.4107262374119819,4
154,0.4098271006592993,6
76,0.40961820882244987,3
571,0.4072718925073224,9
687,0.4062296719087952,3
156,0.40575280722107787,14
345,0.40562617868480927,6
672,0.4040144638920472,3
151,0.4030952823773345,8
597,0.40304601245256033,3
941,0.40173666172381467,3
565,0.4014765517480823,3
827,0.40061968037478224,5
678,0.39797592687121885,6
116,0.3973770367634125,8
537,0.3970228637394694,6
457,0.396468521581233,5
138,0.39636646402157494,12
449,0.39512226656245364,6
316,0.39420080516338457,4
918,0.3940730370886412,3
309,0.39350938799925317,4
738,0.39338920649576414,3
184,0.3932633965654685,10
501,0.39325932577549005,5
505,0.3924271147470033,6
725,0.3921263966450771,6
361,0.39174343380906185,6
245,0.3894043806016566,6
856,0.38809960829546414,3
489,0.38713116952097293,4
658,0.3854983297451642,8
989,0.3849555682779797,6
836,0.3839356622052684,3
185,0.38230452468350157,7
801,0.38018091478469973,5
391,0.37987238239558097,7
594,0.37953130552082703,5
237,0.37907524605501586,9
792,0.37820846414853454,4
956,0.37820703693624846,3
693,0.3774915349407072,3
303,0.37745548900585835,3
534,0.3767264949358619,3
213,0.37657558949640624,8
448,0.3764132236410116,3
734,0.37568625734553746,4
473,0.37457607281533806,10
634,0.37310953105189554,7
219,0.37075706098557687,5
312,0.3703793362279549,2
181,0.3698850998748914,7
823,0.3683834445788839,5
172,0.3670475772521178,6
680,0.3668511764853261,3
293,0.36636970028709115,2
176,0.36469572242666193,9
42,0.3639899951471103,6
411,0.3632131604797212,6
1,0.3621536783597797,6
479,0.3620756471362515,3
970,0.36192021092608173,3
414,0.36132527923677416,3
782,0.36112648730556485,3
454,0.3610361734597273,4
405,0.35908812699872306,8
5,0.35893433532534047,16
789,0.35620760785905137,3
319,0.3560906352430309,5
659,0.3559976945056401,3
434,0.3547680835068653,6
294,0.35398748066752767,8
852,0.35395871895632186,6
847,0.35286894188506235,3
191,0.3524084877278721,10
564,0.35110455716366173,5
242,0.34895325633144514,5
187,0.3486890835750256,6
147,0.34779873786207616,6
617,0.3467779932598384,4
898,0.3464524284256103,7
523,0.3458431507849078,5
909,0.3455169275030231,10
923,0.3448260988845693,3
321,0.344505606568792,7
506,0.3441098470538324,7
363,0.343954561894383,5
709,0.34326089789195136,4
432,0.3422354273683892,3
59,0.3405968861250128,5
613,0.33947307232373497,3
486,0.3391076559049138,3
365,0.3388526858789049,4
698,0.33799608512907897,3
548,0.337668703761449,6
367,0.336770378599127,9
652,0.3362723069299166,4
818,0.33519835832614947,3
572,0.3351799941364771,3
440,0.3346631474973658,3
535,0.33371424498784086,5
752,0.3334384027484398,5
328,0.3327170942020019,11
10,0.33230584033255606,3
89,0.3319026177978766,9
190,0.3304818503061342,5
842,0.33046826118810735,3
106,0.32974136781709484,15
288,0.32954727086068575,6
265,0.3293965355571903,6
609,0.3288966696538582,7
189,0.32762006647708414,6
978,0.32731753432437655,3
980,0.32699044405225175,3
889,0.3262548413860368,7
887,0.32586144575812664,8
153,0.3250523435034016,13
975,0.32370343246653327,2
182,0.3233148878701902,7
485,0.32306966886080957,4
938,0.3221780569050043,3
799,0.3205438064207631,2
65,0.3204891527369164,2
223,0.31886114611805066,6
112,0.3180567469012763,2
892,0.3178560454175052,3
295,0.3166284932012801,5
768,0.31640026033081414,3
247,0.31582258330587465,5
368,0.3154604269626863,6
415,0.31354004300817506,8
384,0.31313957017653815,4
504,0.3131357935583201,3
675,0.3124545696528901,3
580,0.31118469421344946,4
500,0.3102696123073647,10
315,0.30957446966615276,5
518,0.3089684137590502,3
7,0.30863548683724307,9
620,0.3073639646320985,5
936,0.30674995161418117,3
389,0.3065581394964396,10
817,0.30628763888504457,2
526,0.3062386726207178,2
742,0.3053002968741792,4
767,0.30526798090862217,4
947,0.3044780916037508,4
407,0.3040850439064462,5
527,0.30405367661215094,4
702,0.3032571896516145,6
807,0.30272625779373175,2
950,0.30270608422861944,9
98,0.3025774743013412,13
582,0.30252786277764976,2
928,0.3023644469707636,10
549,0.30205023860888364,4
669,0.3020187141127384,7
472,0.30188547771970103,7
688,0.30182155622396134,4
