Subcluster_id,Q-score,No_of_motifs
753,0.4147625221586937,9
1507,0.41466042069967457,6
661,0.4143223699070118,5
577,0.413392984964428,7
772,0.41335043381596204,7
245,0.4133481676110445,8
127,0.41315158229211835,9
1298,0.4126601791824309,4
691,0.4121572516279977,4
196,0.41101271997738364,4
615,0.41094413102515254,6
1168,0.4100615104398033,4
582,0.40962954064954293,9
228,0.40938590709746486,10
961,0.40860134679598936,3
126,0.4067935359946086,4
1515,0.40665574448084885,3
1789,0.406357306079723,4
194,0.40526049487980026,14
1552,0.4049912985755474,5
85,0.40440305697360424,4
439,0.40407239885712937,2
1312,0.4034587936926378,5
1095,0.403077431013146,5
2166,0.4025177100815737,2
1500,0.40249322378498237,3
878,0.4024671694326858,4
29,0.4019677647366139,11
2315,0.40178472257539655,2
77,0.3997759143904373,4
1245,0.39954254374833786,5
2110,0.39946877390645424,4
2195,0.3988510088190387,2
532,0.3987058937168062,4
939,0.39857645327471625,4
1852,0.39831932532838404,6
1425,0.3977486262738946,4
1695,0.3976763990291867,6
1876,0.39725250061050443,4
187,0.3972157081336506,5
1060,0.3971043313169904,4
1688,0.3961234713979346,4
953,0.39566943339069427,4
397,0.39482530027050755,8
1293,0.39464734152139824,11
1848,0.39456087478636875,6
1257,0.3940448549324555,5
1608,0.39384294187809243,3
711,0.39367640323419667,8
1389,0.3936311638317355,5
2010,0.3936211115946751,2
1045,0.3933924307288678,3
1042,0.393079381708947,4
137,0.39250729349615165,10
527,0.39190174382664783,7
1833,0.39152505322898357,3
603,0.39112686952246256,9
9,0.3908697786631346,10
227,0.3905495450991658,4
713,0.3903181364832504,5
343,0.3898241553405687,14
1278,0.3894472217316336,4
1227,0.38924314931865506,6
2279,0.3890665092246174,2
1039,0.3890068954098731,6
2299,0.38852278292117215,3
1152,0.3873617044083046,9
133,0.3857067870120524,5
1770,0.3854292859898351,7
866,0.38520943585788175,6
2003,0.38448158829636975,2
585,0.3843523901879318,8
1818,0.38404679899535776,2
1468,0.38301281034777634,4
147,0.3828418548028334,4
374,0.38273376010040094,4
535,0.3826951396662664,6
1361,0.3825079431358027,4
17,0.3818091890334485,8
797,0.3815489782678154,4
1612,0.38124752571324816,3
1092,0.3810150107598542,4
510,0.3809762903935359,7
98,0.37966921090985295,4
229,0.37923503962082084,4
811,0.3791341461573601,4
422,0.37913297931176276,6
639,0.3783127031497857,5
1966,0.37750827266023407,4
1554,0.37741953445103393,4
1744,0.37701970107595495,5
595,0.37660589111386655,4
675,0.37630214238352927,3
1924,0.376009854381767,4
1043,0.37515406713052674,8
1967,0.3750101968894427,4
1107,0.3750028599748432,2
290,0.37490267864796134,3
560,0.374832694207408,3
1529,0.3746635640022486,3
687,0.3745779268480783,3
1161,0.37450017157824306,5
344,0.3733688634528619,2
214,0.3729752950576142,7
398,0.3722936826205541,3
392,0.3722859024975432,5
1733,0.37199875218587,3
1622,0.3717369126680731,2
263,0.3716022360600443,10
686,0.3711171194571645,4
2255,0.36927730711319806,4
1689,0.3682336934453644,5
30,0.3678552262710429,10
272,0.36748282780297503,6
662,0.36701336831157383,8
1531,0.3669840949301857,4
1898,0.3666252281804559,4
1759,0.36609979867717934,6
2161,0.3656172558407994,6
1648,0.3649317944334894,4
1584,0.36444952789215046,3
1205,0.36435767931645335,4
1944,0.3641632400899061,4
